Timestamp:,2022-01-31T13:47:37.405364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Laser line number: ,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Laser line name:, STATION2CREP_100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Laser image name:, STATION2CREP ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Starting X:,72366.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Starting Y:,77661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Starting Z:,32127.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Spot size:,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Spot spacing:,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Number of shots:,2514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Direction of ablation:,0,Left to Right ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Cycle time (ms),x [um],y [um],23Na cps,24Mg cps,27Al cps,28Si cps,29Si cps,30Si cps,31P cps,39K cps,43Ca cps,44Ca cps,45Sc cps,48Ca cps,49Ti cps,51V cps,52Cr cps,55Mn cps,56Fe cps,59Co cps,60Ni cps,63Cu cps,64Zn cps,69Ga cps,72Ge cps,75As cps,80Se cps,84Sr cps,85Rb cps,86Sr cps,88Sr cps,89Y cps,90Zr cps,93Nb cps,95Mo cps,101Ru cps,103Rh cps,105Pd cps,107Ag cps,111Cd cps,115In cps,120Sn cps,123Sb cps,124Te cps,133Cs cps,138Ba cps,139La cps,140Ce cps,141Pr cps,146Nd cps,149Sm cps,153Eu cps,157Gd cps,159Tb cps,163Dy cps,165Ho cps,166Er cps,169Tm cps,172Yb cps,175Lu cps,178Hf cps,181Ta cps,182W cps,185Re cps,189Os cps,193Ir cps,195Pt cps,197Au cps,202Hg cps,205Tl cps,208Pb cps,209Bi cps,232Th cps,238U cps
39413.4652,72466.42,77661,217.24,0,56.84,887.55,385.85,141.26,98.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,0,0,0,0,0,0,0,0,0,0,0,0,44.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39426.2476,72471.42,77661,185.7,0,0,420.38,141.33,81.15,92.37,0,0,0,24.85,0,0,0,61.8,0,94.01,0,0,0,0,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39437.9648,72476.42,77661,570.51,0,0,926.5,137.62,485.96,9.85,0,76.44,0,49.7,16.96,0,0,107.97,20.28,61.14,0,0,0,0,0,0,0,0,0,0,0,43.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39450.7472,72481.42,77661,299.39,36.3,0,922.85,328.56,460.27,26.85,0,0,12.6,0,0,0,0,13,68.2,35.05,0,0,0,0,0,0,0,0,0,0,0,121.52,0,0,0,0,0,0,0,46.34,48,0,14.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39463.5296,72486.42,77661,83.92,0,0,837.95,106.58,289.31,198.34,0,0,0,0,0,0,0,20.8,0,90.13,0,0,0,0,0,0,25,0,0,0,0,14.5,0,0,0,0,0,0,0,0,0,0,0,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39475.2468,72491.42,77661,733.89,76.4,0,1319.88,51.1,148.17,16.3,0,0,0,0,0,0,0,0,0,33.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.25,0,0,0,0,0,0,0,0,0,0,0,0,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39488.0292,72496.42,77661,558.17,0,0,1145.1,129.57,505.46,31.54,0,0,0,0,0,0,0,0,0,135.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.35,0,0,0,0,0,0,0,0
39500.8116,72501.42,77661,182.14,0,0,1173.39,24.29,117.28,141.78,0,0,0,0,0,0,0,0,0,64.15,0,53.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39513.594,72506.42,77661,580.81,0,0,900.86,152.21,195,0,0,0,51.9,0,0,0,0,58.35,0,93.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39525.3112,72511.42,77661,858.53,724.03,591.21,37180.6,1323.08,1572.89,149.3,0,0,249.18,0,21.5,0,0,44.72,0,443.26,0,0,34.45,51.45,0,0,9.44,0,0,0,0,13.5,0,0,0,0,0,0,0,0,0,0,0,15.25,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
