Station,Cell,Species,Volume
S4,31,5,490.8738521
S4,32,2,1357.168026
S4,33,0,402.1238597
S4,34,4,6499.169802
S4,35,2,269.39157
S4,36,0,942.4777961
S4,37,4,4732.023934
S4,38,2,269.39157
S4,39,4,2367.975463
S4,40,3,502.6548246
S4,41,0,785.3981634
S4,42,4,3707.079331
S4,43,4,1704.314015
S4,44,0,671.5154297
S4,45,4,5654.866776
S4,46,5,301.5928947
S4,48,4,2843.141351
S4,49,0,318.0862562
S4,50,4,785.3981634
S4,51,4,785.3981634
S4,52,2,1005.309649
S4,53,3,2472.433418
S4,53,2,1256.637061
S4,54,2,603.1857895
S4,55,0,846.6592201
S4,56,0,962.1127502
S4,57,4,1130.973355
S4,58,5,785.3981634
S5,1,5,628.3185307
S5,2,0,628.3185307
S5,3,0,785.3981634
S5,4,3,3958.406744
S5,5,4,5301.437603
S5,6,0,589.0486225
S5,7,0,6283.185307
S5,8,4,6118.251693
S5,9,0,1859.822851
S5,10,0,706.8583471
S5,11,4,5353.273882
S5,12,0,753.9822369
S5,13,0,6911.503838
S5,14,4,8482.300165
S5,15,0,1472.621556
S5,16,0,785.3981634
S5,17,5,753.9822369
S5,18,2,1990.984344
S5,19,0,691.1503838
S5,20,0,1570.796327
S5,21,0,439.8229715
S5,22,0,1790.707813
S5,23,0,439.8229715
S5,24,5,565.4866776
S5,25,0,1005.309649
S5,26,3,2287.079452
S5,27,0,388.7720909
S5,28,5,628.3185307
S5,29,4,2650.718801
S5,30,4,2650.718801
S5,31,4,3015.928947
S5,32,3,6432.410958
S5,33,0,1668.971097
S5,34,0,1570.796327
S5,35,4,1130.973355
S5,36,4,2626.371458
S5,37,4,3000.220984
S5,38,2,402.1238597
S5,39,5,1256.637061
S5,40,0,3534.291735
S5,41,0,98.17477042
S5,42,5,691.1503838
S6,1,2,1935.221075
S6,2,0,376.9911184
S6,3,2,1413.716694
S6,4,0,703.7167544
S6,5,2,753.9822369
S6,6,2,226.1946711
S6,7,2,502.6548246
S6,8,5,1633.62818
S6,9,0,769.6902001
S6,10,2,816.8140899
S6,11,0,615.7521601
S6,12,0,1193.805208
S6,13,0,1357.168026
S6,14,2,3091.327171
S6,15,0,376.9911184
S6,16,0,502.6548246
S6,17,0,589.0486225
S6,18,4,392.6990817
S6,19,0,1193.805208
S6,20,2,1947.787445
S6,21,0,395.8406744
S6,22,0,942.4777961
S6,23,4,7351.326809
S6,24,5,1017.87602
S6,25,2,1947.787445
S6,26,0,339.2920066
S6,27,4,7604.225018
S6,28,0,188.4955592
S6,29,4,6130.818063
S6,30,2,452.3893421
S6,31,4,785.3981634
S6,32,2,1809.557368
S6,33,4,4253.716453
S6,34,5,753.9822369
S6,35,2,538.7831401
S6,35,2,1570.796327
S6,37,4,3078.760801
S6,38,0,169.6460033
S6,39,4,19634.95408
S6,40,4,2419.026343
S6,41,0,212.0575041
S6,42,3,911.0618695
S6,43,4,2010.619298
S6,44,0,848.2300165
S6,45,2,502.6548246
S6,46,2,1068.141502
S6,47,2,1068.141502
S6,48,4,1545.663586
S6,49,0,628.3185307
S6,50,0,16009.55616
S6,51,0,577.2676501
S6,52,5,628.3185307
S6,53,2,766.5486075
S6,54,4,2048.31841
S6,55,2,5089.380099
S6,56,4,1796.990998
S6,57,4,2010.619298
S6,58,2,603.1857895
S6,59,3,1382.300768
S6,60,0,1357.168026
S6,61,4,1570.796327
S6,62,0,1030.44239
